S.No,Product/Raw Component Name,Detailed Sourcing / Technical Specifications,Qty,Unit,Unit Rate (INR),Total Price (INR)
1.1,Arduino Uno R3 Clone,"CH340G USB controller, SMD type development board + blue USB programming cable (high-grade virgin PCB).",10,Sets,,
1.2,NodeMCU ESP8266,"CP2102 integrated serial chip, ESP-12E Wi-Fi development board + micro-USB cable.",10,Sets,,
1.3,ESP32 Development Board,WROOM-32D / WROOM-32E NodeMCU type 30-pin board with integrated Wi-Fi & Bluetooth.,5,Units,,
1.4,Raspberry Pi Pico,Dual-core ARM Cortex-M0+ RP2040 microcontroller board (standard pins).,10,Units,,
1.5,ESP32-CAM Development Board,ESP32-S module with integrated Wi-Fi + Bluetooth + OV2640 or OV3660 camera board.,10,Sets,,
1.6,ESP32-CAM MB Programmer Shield,Micro-USB programming board shield with CH340 serial chip for ESP32-CAM.,10,Units,,
1.7,External 2.4GHz High-Gain Antenna,External 2.4GHz antenna with IPEX connector (extends video range).,10,Units,,
1.8,Micro-USB & USB-C Programming Cables,"High-durability nylon-braided Micro-USB and USB-C data sync cables (5 units of each), minimum 1.2-meter length.",10,Units,,
2.1,DC BO Gear Motor (Yellow),"Dual-shaft gear motor, 150 RPM, 3V–9V operation, pre-soldered connecting wires (high-grade nylon or metal gears for 2-3 years lifespan).",30,Units,,
2.2,BO Motor Wheel,High-grip rubber tire wheels compatible with BO motor shafts.,60,Units,,
2.3,TowerPro SG90 Servo Motor (180°),9g miniature analog servo motor (180° rotation) with 3 plastic horns and screws.,20,Units,,
2.4,DC Hobby Toy Motor (3V-6V),Standard 3V–6V cylindrical toy DC motor with round shaft (reinforced terminal leads).,20,Units,,
2.5,DC Toy Propeller,4-blade miniature plastic fan propeller (for hobby DC motors).,20,Units,,
2.6,Vibration Coin Pager Motor (3V),3V miniature coin vibration motor (for brush-bots/wobbly bots).,10,Units,,
2.7,5V Mini Submersible Water Pump,Mini DC water pump + 1-meter flexible transparent silicone pipe.,10,Sets,,
